"StateAbbr","TractFIPS","TotalPop18plus","BINGE_CrudePrev","CSMOKING_CrudePrev","LPA_CrudePrev","BPHIGH_CrudePrev","HIGHCHOL_CrudePrev","DIABETES_CrudePrev","OBESITY_CrudePrev","STROKE_CrudePrev"
"CT","09110497700","3,346","16.3","6.0","15.6","30.3","40.8","8.6","26.2","2.4"
"CT","09110500100","2,597","14.0","17.0","43.2","34.6","36.8","16.9","43.3","3.9"
"CT","09110500200","1,603","12.8","21.3","48.4","38.0","38.8","19.4","44.5","4.8"
"CT","09110500300","1,465","12.2","19.8","46.8","40.7","41.0","20.6","44.5","5.4"
"CT","09110500400","1,331","14.1","15.3","37.4","33.0","35.2","14.4","40.5","3.6"
"CT","09110500500","1,307","13.8","11.4","29.3","31.0","36.4","12.2","32.2","3.0"
"CT","09110500900","1,343","11.1","24.0","53.4","42.5","39.6","22.8","49.5","6.1"
"CT","09110501200","1,628","11.4","22.3","46.4","41.6","36.1","19.0","47.9","5.4"
"CT","09110501300","1,139","11.5","24.8","49.9","41.8","36.4","20.0","49.2","5.6"
"CT","09110501400","1,917","10.9","21.0","44.6","45.4","38.7","20.6","46.4","6.3"
"CT","09110501500","2,699","11.8","20.5","42.1","42.8","36.1","18.2","46.5","5.4"
"CT","09110501700","1,055","12.2","21.4","47.2","41.4","37.9","19.8","47.4","5.1"
"CT","09110501800","1,914","12.7","19.8","44.7","37.8","35.2","17.4","46.0","4.6"
"CT","09110502100","2,635","18.3","8.5","20.0","23.0","30.4","7.1","28.0","1.8"
"CT","09110502300","4,448","14.6","13.7","35.4","32.9","38.7","14.2","36.8","3.5"
"CT","09110502400","4,086","14.0","16.3","42.0","34.5","38.6","16.5","40.7","3.9"
"CT","09110502500","1,336","11.8","23.4","51.0","42.4","42.4","22.2","45.4","6.1"
"CT","09110502600","2,751","13.8","16.6","41.6","34.3","37.6","16.0","41.0","3.9"
"CT","09110502700","4,204","16.0","14.7","37.6","27.1","31.0","12.3","36.5","3.1"
"CT","09110502800","2,023","12.7","24.2","54.1","37.9","38.3","20.2","47.3","5.1"
"CT","09110502900","2,038","14.8","12.4","34.2","29.3","34.8","12.7","36.1","2.9"
"CT","09110503000","2,135","12.8","19.8","48.7","37.1","39.6","19.3","42.7","5.0"
"CT","09110503101","1,240","12.2","23.3","47.4","39.4","36.3","18.4","46.1","5.0"
"CT","09110503102","2,522","13.0","14.9","34.7","39.1","39.3","16.2","39.1","4.5"
"CT","09110503300","2,019","13.9","17.3","39.0","34.3","33.6","14.3","42.0","3.8"
"CT","09110503500","1,147","12.2","19.0","40.4","42.3","36.1","17.9","46.4","4.9"
"CT","09110503700","1,909","10.7","24.4","46.2","48.7","38.3","22.0","50.5","6.8"
"CT","09110503800","2,394","19.2","9.0","25.5","13.5","16.0","2.7","28.0","0.9"
"CT","09110503900","3,769","10.8","15.4","36.2","46.1","39.0","18.5","42.8","5.6"
"CT","09110504000","2,630","12.5","12.5","30.2","40.4","35.7","14.5","40.3","4.2"
"CT","09110504100","1,411","14.5","19.6","43.3","34.4","36.0","16.3","42.9","4.1"
"CT","09110504200","4,125","13.5","14.0","35.6","37.5","39.4","16.0","37.1","4.5"
"CT","09110504300","1,602","13.3","16.0","41.0","37.4","40.2","17.2","38.7","4.7"
"CT","09110504500","2,525","13.7","16.0","42.5","34.8","38.1","16.8","41.4","4.0"
"CT","09110504800","3,610","13.9","12.7","35.6","34.4","39.7","15.1","36.8","3.7"
"CT","09110504900","3,376","13.9","16.6","42.1","35.5","38.6","17.0","41.0","4.2"
"CT","09110510100","1,752","13.9","13.9","32.9","36.6","40.2","14.4","36.2","3.9"
"CT","09110510200","1,943","12.2","12.5","34.6","41.3","42.9","17.0","37.1","4.7"
"CT","09110510300","3,097","13.3","17.5","39.3","37.6","37.5","16.2","42.2","4.3"
